#    T [K]            N         DOS(Ef)           S             s/t               R_H        kappa0         c                 chi         Ef
  840.0000      0.00774969  0.27825933E+01  0.23411948E-03  0.85970972E+19  0.26174199E-07  0.76456414E+15  0.51719981E+00  0.41541733E-10  0.39195762E+00
  850.0000      0.00774969  0.27756092E+01  0.23211371E-03  0.86559148E+19  0.25680148E-07  0.78713363E+15  0.52827117E+00  0.41437467E-10  0.39208727E+00
  860.0000      0.00774969  0.27698395E+01  0.22995734E-03  0.87188862E+19  0.25169815E-07  0.81038465E+15  0.53954359E+00  0.41351331E-10  0.39221630E+00
  870.0000      0.00774969  0.27652782E+01  0.22765414E-03  0.87861183E+19  0.24644211E-07  0.83433497E+15  0.55101845E+00  0.41283234E-10  0.39234461E+00
  880.0000      0.00774969  0.27619178E+01  0.22520848E-03  0.88577128E+19  0.24104453E-07  0.85900199E+15  0.56269694E+00  0.41233066E-10  0.39247216E+00
  890.0000      0.00774969  0.27597496E+01  0.22262537E-03  0.89337666E+19  0.23551748E-07  0.88440278E+15  0.57458005E+00  0.41200697E-10  0.39259887E+00
  900.0000      0.00774969  0.27587637E+01  0.21991033E-03  0.90143710E+19  0.22987391E-07  0.91055398E+15  0.58666858E+00  0.41185978E-10  0.39272468E+00
  910.0000      0.00774969  0.27589487E+01  0.21706942E-03  0.90996117E+19  0.22412741E-07  0.93747183E+15  0.59896316E+00  0.41188739E-10  0.39284954E+00
  920.0000      0.00774969  0.27602921E+01  0.21410917E-03  0.91895685E+19  0.21829218E-07  0.96517209E+15  0.61146423E+00  0.41208795E-10  0.39297338E+00
  930.0000      0.00774969  0.27627801E+01  0.21103650E-03  0.92843152E+19  0.21238283E-07  0.99367008E+15  0.62417207E+00  0.41245939E-10  0.39309615E+00
  940.0000      0.00774969  0.27663978E+01  0.20785872E-03  0.93839197E+19  0.20641422E-07  0.10229806E+16  0.63708682E+00  0.41299949E-10  0.39321780E+00
  950.0000      0.00774969  0.27711292E+01  0.20458339E-03  0.94884436E+19  0.20040139E-07  0.10531180E+16  0.65020844E+00  0.41370585E-10  0.39333829E+00
  960.0000      0.00774969  0.27769572E+01  0.20121835E-03  0.95979424E+19  0.19435932E-07  0.10840961E+16  0.66353678E+00  0.41457591E-10  0.39345758E+00
  970.0000      0.00774969  0.27838636E+01  0.19777158E-03  0.97124654E+19  0.18830286E-07  0.11159281E+16  0.67707153E+00  0.41560698E-10  0.39357561E+00
  980.0000      0.00774969  0.27918295E+01  0.19425119E-03  0.98320560E+19  0.18224660E-07  0.11486268E+16  0.69081228E+00  0.41679622E-10  0.39369237E+00
  990.0000      0.00774969  0.28008349E+01  0.19066530E-03  0.99567514E+19  0.17620470E-07  0.11822045E+16  0.70475850E+00  0.41814066E-10  0.39380780E+00
 1000.0000      0.00774969  0.28108594E+01  0.18702207E-03  0.10086583E+20  0.17019081E-07  0.12166729E+16  0.71890957E+00  0.41963722E-10  0.39392189E+00
 1010.0000      0.00774969  0.28218816E+01  0.18332954E-03  0.10221578E+20  0.16421798E-07  0.12520432E+16  0.73326476E+00  0.42128274E-10  0.39403461E+00
 1020.0000      0.00774969  0.28338796E+01  0.17959569E-03  0.10361754E+20  0.15829858E-07  0.12883262E+16  0.74782328E+00  0.42307395E-10  0.39414593E+00
 1030.0000      0.00774969  0.28468312E+01  0.17582827E-03  0.10507129E+20  0.15244419E-07  0.13255321E+16  0.76258425E+00  0.42500751E-10  0.39425584E+00
 1040.0000      0.00774969  0.28607136E+01  0.17203488E-03  0.10657712E+20  0.14666560E-07  0.13636707E+16  0.77754673E+00  0.42708003E-10  0.39436433E+00
 1050.0000      0.00774969  0.28755037E+01  0.16822282E-03  0.10813507E+20  0.14097271E-07  0.14027512E+16  0.79270972E+00  0.42928806E-10  0.39447137E+00
 1060.0000      0.00774969  0.28911781E+01  0.16439915E-03  0.10974517E+20  0.13537457E-07  0.14427826E+16  0.80807220E+00  0.43162812E-10  0.39457696E+00
 1070.0000      0.00774969  0.29077135E+01  0.16057059E-03  0.11140737E+20  0.12987929E-07  0.14837732E+16  0.82363307E+00  0.43409670E-10  0.39468109E+00
 1080.0000      0.00774969  0.29250861E+01  0.15674355E-03  0.11312160E+20  0.12449410E-07  0.15257310E+16  0.83939123E+00  0.43669029E-10  0.39478376E+00
 1090.0000      0.00774969  0.29432725E+01  0.15292409E-03  0.11488774E+20  0.11922534E-07  0.15686637E+16  0.85534555E+00  0.43940536E-10  0.39488497E+00
 1100.0000      0.00774969  0.29622490E+01  0.14911790E-03  0.11670565E+20  0.11407844E-07  0.16125785E+16  0.87149487E+00  0.44223839E-10  0.39498472E+00
 1110.0000      0.00774969  0.29819922E+01  0.14533029E-03  0.11857514E+20  0.10905800E-07  0.16574823E+16  0.88783802E+00  0.44518588E-10  0.39508301E+00
 1120.0000      0.00774969  0.30024789E+01  0.14156622E-03  0.12049602E+20  0.10416779E-07  0.17033817E+16  0.90437384E+00  0.44824437E-10  0.39517984E+00
 1130.0000      0.00774969  0.30236860E+01  0.13783025E-03  0.12246803E+20  0.99410791E-08  0.17502828E+16  0.92110113E+00  0.45141041E-10  0.39527524E+00
 1140.0000      0.00774969  0.30455907E+01  0.13412659E-03  0.12449093E+20  0.94789265E-08  0.17981916E+16  0.93801874E+00  0.45468060E-10  0.39536920E+00
 1150.0000      0.00774969  0.30681706E+01  0.13045906E-03  0.12656442E+20  0.90304762E-08  0.18471137E+16  0.95512549E+00  0.45805158E-10  0.39546174E+00
 1160.0000      0.00774969  0.30914036E+01  0.12683115E-03  0.12868821E+20  0.85958195E-08  0.18970544E+16  0.97242022E+00  0.46152007E-10  0.39555287E+00
 1170.0000      0.00774969  0.31152679E+01  0.12324596E-03  0.13086198E+20  0.81749882E-08  0.19480190E+16  0.98990179E+00  0.46508280E-10  0.39564260E+00
 1180.0000      0.00774969  0.31397423E+01  0.11970630E-03  0.13308539E+20  0.77679597E-08  0.20000123E+16  0.10075691E+01  0.46873661E-10  0.39573095E+00
 1190.0000      0.00774969  0.31648058E+01  0.11621462E-03  0.13535809E+20  0.73746624E-08  0.20530389E+16  0.10254209E+01  0.47247838E-10  0.39581794E+00
 1200.0000      0.00774969  0.31904381E+01  0.11277309E-03  0.13767972E+20  0.69949800E-08  0.21071033E+16  0.10434563E+01  0.47630506E-10  0.39590359E+00
 
   10.0000     -0.00774969  0.35194442E+01  0.13821191E-04  0.95777393E+19 -0.27060803E-07  0.22725731E+13  0.29042804E-02  0.52542287E-10  0.41544410E+00
   20.0000     -0.00774969  0.34636031E+01 -0.31706753E-06  0.95029918E+19 -0.26296081E-07  0.48148095E+13  0.61585838E-02  0.51708626E-10  0.41544923E+00
   30.0000     -0.00774969  0.34955892E+01 -0.91620047E-05  0.96260334E+19 -0.26010852E-07  0.73526116E+13  0.93494008E-02  0.52186152E-10  0.41544871E+00
   40.0000     -0.00774969  0.35196905E+01 -0.14965613E-04  0.97189402E+19 -0.25834266E-07  0.97820656E+13  0.12384213E-01  0.52545963E-10  0.41544461E+00
   50.0000     -0.00774969  0.35293862E+01 -0.19607158E-04  0.97654462E+19 -0.25732330E-07  0.12204823E+14  0.15364091E-01  0.52690712E-10  0.41543800E+00
   60.0000     -0.00774969  0.35302438E+01 -0.23816343E-04  0.97848697E+19 -0.25674685E-07  0.14677768E+14  0.18339643E-01  0.52703515E-10  0.41542942E+00
   70.0000     -0.00774969  0.35266350E+01 -0.27853500E-04  0.97917617E+19 -0.25640786E-07  0.17219721E+14  0.21320525E-01  0.52649638E-10  0.41541910E+00
   80.0000     -0.00774969  0.35208220E+01 -0.31813415E-04  0.97936277E+19 -0.25618897E-07  0.19837531E+14  0.24306422E-01  0.52562855E-10  0.41540713E+00
   90.0000     -0.00774969  0.35138426E+01 -0.35733212E-04  0.97938792E+19 -0.25602611E-07  0.22536667E+14  0.27298135E-01  0.52458658E-10  0.41539352E+00
  100.0000     -0.00774969  0.35061608E+01 -0.39629429E-04  0.97939602E+19 -0.25588493E-07  0.25323875E+14  0.30298791E-01  0.52343976E-10  0.41537829E+00
  110.0000     -0.00774969  0.34979913E+01 -0.43510660E-04  0.97944367E+19 -0.25574753E-07  0.28207268E+14  0.33312459E-01  0.52222013E-10  0.41536142E+00
  120.0000     -0.00774969  0.34894412E+01 -0.47381903E-04  0.97954981E+19 -0.25560521E-07  0.31195849E+14  0.36342844E-01  0.52094367E-10  0.41534289E+00
  130.0000     -0.00774969  0.34805672E+01 -0.51246119E-04  0.97971786E+19 -0.25545436E-07  0.34299062E+14  0.39392619E-01  0.51961886E-10  0.41532268E+00
  140.0000     -0.00774969  0.34713996E+01 -0.55104882E-04  0.97994519E+19 -0.25529424E-07  0.37526458E+14  0.42463272E-01  0.51825021E-10  0.41530076E+00
  150.0000     -0.00774969  0.34619518E+01 -0.58958721E-04  0.98022720E+19 -0.25512563E-07  0.40887474E+14  0.45555280E-01  0.51683973E-10  0.41527712E+00
  160.0000     -0.00774969  0.34522256E+01 -0.62807341E-04  0.98055897E+19 -0.25495010E-07  0.44391279E+14  0.48668389E-01  0.51538770E-10  0.41525174E+00
  170.0000     -0.00774969  0.34422146E+01 -0.66649813E-04  0.98093586E+19 -0.25476958E-07  0.48046673E+14  0.51801930E-01  0.51389315E-10  0.41522459E+00
  180.0000     -0.00774969  0.34319068E+01 -0.70484719E-04  0.98135373E+19 -0.25458606E-07  0.51862016E+14  0.54955076E-01  0.51235427E-10  0.41519567E+00
  190.0000     -0.00774969  0.34212867E+01 -0.74310289E-04  0.98180893E+19 -0.25440152E-07  0.55845180E+14  0.58127047E-01  0.51076878E-10  0.41516497E+00
  200.0000     -0.00774969  0.34103374E+01 -0.78124507E-04  0.98229828E+19 -0.25421777E-07  0.60003515E+14  0.61317243E-01  0.50913415E-10  0.41513246E+00
  210.0000     -0.00774969  0.33990421E+01 -0.81925210E-04  0.98281898E+19 -0.25403646E-07  0.64343836E+14  0.64525331E-01  0.50744786E-10  0.41509816E+00
  220.0000     -0.00774969  0.33873850E+01 -0.85710159E-04  0.98336854E+19 -0.25385904E-07  0.68872414E+14  0.67751274E-01  0.50570755E-10  0.41506205E+00
  230.0000     -0.00774969  0.33753523E+01 -0.89477101E-04  0.98394475E+19 -0.25368676E-07  0.73594978E+14  0.70995342E-01  0.50391118E-10  0.41502412E+00
  240.0000     -0.00774969  0.33629330E+01 -0.93223816E-04  0.98454560E+19 -0.25352069E-07  0.78516727E+14  0.74258093E-01  0.50205708E-10  0.41498439E+00
  250.0000     -0.00774969  0.33501186E+01 -0.96948156E-04  0.98516926E+19 -0.25336172E-07  0.83642342E+14  0.77540348E-01  0.50014400E-10  0.41494285E+00
  260.0000     -0.00774969  0.33369039E+01 -0.10064806E-03  0.98581406E+19 -0.25321060E-07  0.88976014E+14  0.80843156E-01  0.49817116E-10  0.41489950E+00
  270.0000     -0.00774969  0.33232868E+01 -0.10432160E-03  0.98647845E+19 -0.25306790E-07  0.94521464E+14  0.84167762E-01  0.49613824E-10  0.41485435E+00
  280.0000     -0.00774969  0.33092679E+01 -0.10796694E-03  0.98716099E+19 -0.25293411E-07  0.10028197E+15  0.87515578E-01  0.49404534E-10  0.41480740E+00
  290.0000     -0.00774969  0.32948508E+01 -0.11158241E-03  0.98786035E+19 -0.25280957E-07  0.10626042E+15  0.90888157E-01  0.49189299E-10  0.41475867E+00
  300.0000     -0.00774969  0.32800417E+01 -0.11516644E-03  0.98857529E+19 -0.25269452E-07  0.11245932E+15  0.94287172E-01  0.48968212E-10  0.41470816E+00
  310.0000     -0.00774969  0.32648492E+01 -0.11871760E-03  0.98930466E+19 -0.25258914E-07  0.11888084E+15  0.97714409E-01  0.48741400E-10  0.41465588E+00
  320.0000     -0.00774969  0.32492839E+01 -0.12223459E-03  0.99004741E+19 -0.25249348E-07  0.12552685E+15  0.10117175E+00  0.48509024E-10  0.41460183E+00
  330.0000     -0.00774969  0.32333586E+01 -0.12571620E-03  0.99080257E+19 -0.25240753E-07  0.13239899E+15  0.10466119E+00  0.48271273E-10  0.41454604E+00
  340.0000     -0.00774969  0.32170876E+01 -0.12916137E-03  0.99156929E+19 -0.25233123E-07  0.13949868E+15  0.10818480E+00  0.48028361E-10  0.41448850E+00
  350.0000     -0.00774969  0.32004868E+01 -0.13256907E-03  0.99234683E+19 -0.25226440E-07  0.14682715E+15  0.11174479E+00  0.47780525E-10  0.41442924E+00
  360.0000     -0.00774969  0.31835734E+01 -0.13593841E-03  0.99313455E+19 -0.25220681E-07  0.15438553E+15  0.11534347E+00  0.47528023E-10  0.41436826E+00
  370.0000     -0.00774969  0.31663658E+01 -0.13926854E-03  0.99393198E+19 -0.25215815E-07  0.16217487E+15  0.11898328E+00  0.47271128E-10  0.41430558E+00
  380.0000     -0.00774969  0.31488833E+01 -0.14255865E-03  0.99473876E+19 -0.25211803E-07  0.17019615E+15  0.12266680E+00  0.47010130E-10  0.41424121E+00
  390.0000     -0.00774969  0.31311463E+01 -0.14580800E-03  0.99555473E+19 -0.25208597E-07  0.17845039E+15  0.12639676E+00  0.46745331E-10  0.41417517E+00
  400.0000     -0.00774969  0.31131758E+01 -0.14901587E-03  0.99637989E+19 -0.25206140E-07  0.18693863E+15  0.13017604E+00  0.46477046E-10  0.41410747E+00
  410.0000     -0.00774969  0.30949934E+01 -0.15218154E-03  0.99721446E+19 -0.25204367E-07  0.19566200E+15  0.13400770E+00  0.46205599E-10  0.41403812E+00
  420.0000     -0.00774969  0.30766215E+01 -0.15530430E-03  0.99805887E+19 -0.25203200E-07  0.20462177E+15  0.13789498E+00  0.45931323E-10  0.41396715E+00
  430.0000     -0.00774969  0.30580830E+01 -0.15838342E-03  0.99891379E+19 -0.25202551E-07  0.21381936E+15  0.14184130E+00  0.45654559E-10  0.41389457E+00
  440.0000     -0.00774969  0.30394013E+01 -0.16141815E-03  0.99978016E+19 -0.25202320E-07  0.22325641E+15  0.14585025E+00  0.45375656E-10  0.41382040E+00
  450.0000     -0.00774969  0.30206001E+01 -0.16440770E-03  0.10006592E+20 -0.25202395E-07  0.23293476E+15  0.14992563E+00  0.45094971E-10  0.41374466E+00
  460.0000     -0.00774969  0.30017038E+01 -0.16735124E-03  0.10015525E+20 -0.25202649E-07  0.24285655E+15  0.15407143E+00  0.44812865E-10  0.41366736E+00
  470.0000     -0.00774969  0.29827369E+01 -0.17024786E-03  0.10024618E+20 -0.25202943E-07  0.25302423E+15  0.15829182E+00  0.44529706E-10  0.41358853E+00
  480.0000     -0.00774969  0.29637246E+01 -0.17309659E-03  0.10033894E+20 -0.25203120E-07  0.26344054E+15  0.16259114E+00  0.44245868E-10  0.41350819E+00
  490.0000     -0.00774969  0.29446922E+01 -0.17589639E-03  0.10043379E+20 -0.25203009E-07  0.27410862E+15  0.16697393E+00  0.43961731E-10  0.41342637E+00
  500.0000     -0.00774969  0.29256655E+01 -0.17864612E-03  0.10053101E+20 -0.25202423E-07  0.28503198E+15  0.17144488E+00  0.43677679E-10  0.41334308E+00
  510.0000     -0.00774969  0.29066708E+01 -0.18134456E-03  0.10063096E+20 -0.25201155E-07  0.29621451E+15  0.17600886E+00  0.43394105E-10  0.41325836E+00
  520.0000     -0.00774969  0.28877346E+01 -0.18399037E-03  0.10073401E+20 -0.25198984E-07  0.30766057E+15  0.18067087E+00  0.43111402E-10  0.41317223E+00
  530.0000     -0.00774969  0.28688836E+01 -0.18658211E-03  0.10084058E+20 -0.25195668E-07  0.31937495E+15  0.18543605E+00  0.42829974E-10  0.41308472E+00
  540.0000     -0.00774969  0.28501452E+01 -0.18911825E-03  0.10095115E+20 -0.25190950E-07  0.33136289E+15  0.19030965E+00  0.42550225E-10  0.41299587E+00
  550.0000     -0.00774969  0.28315469E+01 -0.19159713E-03  0.10106624E+20 -0.25184551E-07  0.34363014E+15  0.19529705E+00  0.42272569E-10  0.41290570E+00
  560.0000     -0.00774969  0.28131167E+01 -0.19401698E-03  0.10118640E+20 -0.25176176E-07  0.35618290E+15  0.20040370E+00  0.41997422E-10  0.41281425E+00
  570.0000     -0.00774969  0.27948828E+01 -0.19637591E-03  0.10131227E+20 -0.25165510E-07  0.36902792E+15  0.20563512E+00  0.41725205E-10  0.41272156E+00
  580.0000     -0.00774969  0.27768738E+01 -0.19867193E-03  0.10144450E+20 -0.25152221E-07  0.38217242E+15  0.21099691E+00  0.41456346E-10  0.41262766E+00
  590.0000     -0.00774969  0.27591185E+01 -0.20090294E-03  0.10158381E+20 -0.25135961E-07  0.39562416E+15  0.21649467E+00  0.41191274E-10  0.41253260E+00
  600.0000     -0.00774969  0.27416460E+01 -0.20306673E-03  0.10173098E+20 -0.25116363E-07  0.40939141E+15  0.22213404E+00  0.40930425E-10  0.41243642E+00
  610.0000     -0.00774969  0.27244857E+01 -0.20516100E-03  0.10188682E+20 -0.25093046E-07  0.42348298E+15  0.22792067E+00  0.40674237E-10  0.41233916E+00
  620.0000     -0.00774969  0.27076673E+01 -0.20718335E-03  0.10205221E+20 -0.25065614E-07  0.43790819E+15  0.23386015E+00  0.40423152E-10  0.41224087E+00
  630.0000     -0.00774969  0.26912203E+01 -0.20913130E-03  0.10222808E+20 -0.25033659E-07  0.45267687E+15  0.23995807E+00  0.40177613E-10  0.41214160E+00
  640.0000     -0.00774969  0.26751748E+01 -0.21100232E-03  0.10241538E+20 -0.24996762E-07  0.46779939E+15  0.24621993E+00  0.39938067E-10  0.41204141E+00
  650.0000     -0.00774969  0.26595606E+01 -0.21279380E-03  0.10261516E+20 -0.24954496E-07  0.48328660E+15  0.25265117E+00  0.39704960E-10  0.41194034E+00
  660.0000     -0.00774969  0.26444076E+01 -0.21450311E-03  0.10282847E+20 -0.24906428E-07  0.49914987E+15  0.25925713E+00  0.39478739E-10  0.41183846E+00
  670.0000     -0.00774969  0.26297457E+01 -0.21612758E-03  0.10305644E+20 -0.24852121E-07  0.51540105E+15  0.26604301E+00  0.39259850E-10  0.41173582E+00
  680.0000     -0.00774969  0.26156048E+01 -0.21766455E-03  0.10330022E+20 -0.24791138E-07  0.53205246E+15  0.27301390E+00  0.39048738E-10  0.41163249E+00
  690.0000     -0.00774969  0.26020142E+01 -0.21911136E-03  0.10356102E+20 -0.24723046E-07  0.54911685E+15  0.28017473E+00  0.38845843E-10  0.41152854E+00
  700.0000     -0.00774969  0.25890034E+01 -0.22046541E-03  0.10384007E+20 -0.24647418E-07  0.56660745E+15  0.28753025E+00  0.38651602E-10  0.41142401E+00
  710.0000     -0.00774969  0.25766012E+01 -0.22172414E-03  0.10413864E+20 -0.24563840E-07  0.58453785E+15  0.29508501E+00  0.38466447E-10  0.41131900E+00
  720.0000     -0.00774969  0.25648359E+01 -0.22288510E-03  0.10445806E+20 -0.24471909E-07  0.60292206E+15  0.30284339E+00  0.38290802E-10  0.41121356E+00
  730.0000     -0.00774969  0.25537354E+01 -0.22394592E-03  0.10479963E+20 -0.24371246E-07  0.62177443E+15  0.31080951E+00  0.38125082E-10  0.41110777E+00
  740.0000     -0.00774969  0.25433270E+01 -0.22490440E-03  0.10516474E+20 -0.24261491E-07  0.64110966E+15  0.31898728E+00  0.37969692E-10  0.41100170E+00
  750.0000     -0.00774969  0.25336369E+01 -0.22575848E-03  0.10555474E+20 -0.24142316E-07  0.66094272E+15  0.32738036E+00  0.37825028E-10  0.41089543E+00
  760.0000     -0.00774969  0.25246908E+01 -0.22650630E-03  0.10597103E+20 -0.24013423E-07  0.68128887E+15  0.33599214E+00  0.37691470E-10  0.41078903E+00
  770.0000     -0.00774969  0.25165131E+01 -0.22714622E-03  0.10641501E+20 -0.23874552E-07  0.70216357E+15  0.34482576E+00  0.37569384E-10  0.41068259E+00
  780.0000     -0.00774969  0.25091273E+01 -0.22767685E-03  0.10688808E+20 -0.23725483E-07  0.72358249E+15  0.35388407E+00  0.37459120E-10  0.41057619E+00
  790.0000     -0.00774969  0.25025557E+01 -0.22809705E-03  0.10739165E+20 -0.23566042E-07  0.74556144E+15  0.36316963E+00  0.37361011E-10  0.41046990E+00
  800.0000     -0.00774969  0.24968191E+01 -0.22840597E-03  0.10792710E+20 -0.23396104E-07  0.76811636E+15  0.37268474E+00  0.37275370E-10  0.41036380E+00
  810.0000     -0.00774969  0.24919373E+01 -0.22860308E-03  0.10849581E+20 -0.23215594E-07  0.79126325E+15  0.38243137E+00  0.37202488E-10  0.41025798E+00
  820.0000     -0.00774969  0.24879282E+01 -0.22868818E-03  0.10909916E+20 -0.23024491E-07  0.81501814E+15  0.39241122E+00  0.37142636E-10  0.41015251E+00
  830.0000     -0.00774969  0.24848084E+01 -0.22866140E-03  0.10973847E+20 -0.22822832E-07  0.83939704E+15  0.40262570E+00  0.37096061E-10  0.41004747E+00
  840.0000     -0.00774969  0.24825929E+01 -0.22852322E-03  0.11041506E+20 -0.22610712E-07  0.86441593E+15  0.41307592E+00  0.37062985E-10  0.40994295E+00
  850.0000     -0.00774969  0.24812948E+01 -0.22827450E-03  0.11113021E+20 -0.22388282E-07  0.89009069E+15  0.42376269E+00  0.37043605E-10  0.40983902E+00
  860.0000     -0.00774969  0.24809255E+01 -0.22791645E-03  0.11188515E+20 -0.22155753E-07  0.91643708E+15  0.43468657E+00  0.37038092E-10  0.40973576E+00
  870.0000     -0.00774969  0.24814948E+01 -0.22745064E-03  0.11268107E+20 -0.21913393E-07  0.94347068E+15  0.44584783E+00  0.37046591E-10  0.40963324E+00
  880.0000     -0.00774969  0.24830104E+01 -0.22687903E-03  0.11351912E+20 -0.21661528E-07  0.97120687E+15  0.45724647E+00  0.37069217E-10  0.40953153E+00
  890.0000     -0.00774969  0.24854783E+01 -0.22620391E-03  0.11440038E+20 -0.21400536E-07  0.99966081E+15  0.46888226E+00  0.37106061E-10  0.40943071E+00
  900.0000     -0.00774969  0.24889027E+01 -0.22542790E-03  0.11532589E+20 -0.21130846E-07  0.10288474E+16  0.48075469E+00  0.37157184E-10  0.40933084E+00
  910.0000     -0.00774969  0.24932857E+01 -0.22455398E-03  0.11629664E+20 -0.20852935E-07  0.10587812E+16  0.49286307E+00  0.37222619E-10  0.40923199E+00
  920.0000     -0.00774969  0.24986279E+01 -0.22358541E-03  0.11731352E+20 -0.20567323E-07  0.10894765E+16  0.50520648E+00  0.37302374E-10  0.40913422E+00
  930.0000     -0.00774969  0.25049280E+01 -0.22252573E-03  0.11837739E+20 -0.20274568E-07  0.11209472E+16  0.51778378E+00  0.37396428E-10  0.40903759E+00
  940.0000     -0.00774969  0.25121827E+01 -0.22137877E-03  0.11948903E+20 -0.19975260E-07  0.11532069E+16  0.53059369E+00  0.37504734E-10  0.40894215E+00
  950.0000     -0.00774969  0.25203872E+01 -0.22014856E-03  0.12064917E+20 -0.19670020E-07  0.11862688E+16  0.54363474E+00  0.37627222E-10  0.40884795E+00
  960.0000     -0.00774969  0.25295352E+01 -0.21883933E-03  0.12185844E+20 -0.19359489E-07  0.12201457E+16  0.55690532E+00  0.37763794E-10  0.40875504E+00
  970.0000     -0.00774969  0.25396187E+01 -0.21745550E-03  0.12311743E+20 -0.19044322E-07  0.12548499E+16  0.57040369E+00  0.37914331E-10  0.40866347E+00
  980.0000     -0.00774969  0.25506280E+01 -0.21600161E-03  0.12442666E+20 -0.18725188E-07  0.12903936E+16  0.58412801E+00  0.38078691E-10  0.40857327E+00
  990.0000     -0.00774969  0.25625524E+01 -0.21448231E-03  0.12578656E+20 -0.18402758E-07  0.13267882E+16  0.59807632E+00  0.38256712E-10  0.40848449E+00
 1000.0000     -0.00774969  0.25753797E+01 -0.21290233E-03  0.12719752E+20 -0.18077704E-07  0.13640449E+16  0.61224662E+00  0.38448212E-10  0.40839715E+00
 1010.0000     -0.00774969  0.25890964E+01 -0.21126643E-03  0.12865987E+20 -0.17750689E-07  0.14021745E+16  0.62663680E+00  0.38652991E-10  0.40831128E+00
 1020.0000     -0.00774969  0.26036882E+01 -0.20957937E-03  0.13017385E+20 -0.17422368E-07  0.14411873E+16  0.64124474E+00  0.38870833E-10  0.40822691E+00
 1030.0000     -0.00774969  0.26191394E+01 -0.20784593E-03  0.13173965E+20 -0.17093378E-07  0.14810934E+16  0.65606827E+00  0.39101506E-10  0.40814406E+00
 1040.0000     -0.00774969  0.26354337E+01 -0.20607080E-03  0.13335742E+20 -0.16764335E-07  0.15219021E+16  0.67110520E+00  0.39344767E-10  0.40806275E+00
 1050.0000     -0.00774969  0.26525541E+01 -0.20425864E-03  0.13502725E+20 -0.16435835E-07  0.15636228E+16  0.68635335E+00  0.39600359E-10  0.40798298E+00
 1060.0000     -0.00774969  0.26704825E+01 -0.20241397E-03  0.13674915E+20 -0.16108445E-07  0.16062643E+16  0.70181053E+00  0.39868016E-10  0.40790477E+00
 1070.0000     -0.00774969  0.26892007E+01 -0.20054123E-03  0.13852312E+20 -0.15782701E-07  0.16498348E+16  0.71747455E+00  0.40147462E-10  0.40782813E+00
 1080.0000     -0.00774969  0.27086897E+01 -0.19864471E-03  0.14034909E+20 -0.15459111E-07  0.16943427E+16  0.73334328E+00  0.40438416E-10  0.40775307E+00
 1090.0000     -0.00774969  0.27289301E+01 -0.19672855E-03  0.14222695E+20 -0.15138147E-07  0.17397956E+16  0.74941459E+00  0.40740588E-10  0.40767957E+00
 1100.0000     -0.00774969  0.27499025E+01 -0.19479675E-03  0.14415656E+20 -0.14820250E-07  0.17862009E+16  0.76568643E+00  0.41053688E-10  0.40760764E+00
 1110.0000     -0.00774969  0.27715869E+01 -0.19285309E-03  0.14613772E+20 -0.14505823E-07  0.18335658E+16  0.78215675E+00  0.41377418E-10  0.40753729E+00
 1120.0000     -0.00774969  0.27939635E+01 -0.19090121E-03  0.14817023E+20 -0.14195236E-07  0.18818972E+16  0.79882358E+00  0.41711481E-10  0.40746849E+00
 1130.0000     -0.00774969  0.28170122E+01 -0.18894455E-03  0.15025384E+20 -0.13888822E-07  0.19312016E+16  0.81568502E+00  0.42055578E-10  0.40740124E+00
 1140.0000     -0.00774969  0.28407129E+01 -0.18698634E-03  0.15238827E+20 -0.13586882E-07  0.19814854E+16  0.83273920E+00  0.42409410E-10  0.40733553E+00
 1150.0000     -0.00774969  0.28650459E+01 -0.18502962E-03  0.15457322E+20 -0.13289680E-07  0.20327545E+16  0.84998433E+00  0.42772679E-10  0.40727135E+00
 1160.0000     -0.00774969  0.28899911E+01 -0.18307725E-03  0.15680837E+20 -0.12997450E-07  0.20850149E+16  0.86741869E+00  0.43145091E-10  0.40720868E+00
 1170.0000     -0.00774969  0.29155291E+01 -0.18113189E-03  0.15909337E+20 -0.12710393E-07  0.21382721E+16  0.88504062E+00  0.43526351E-10  0.40714750E+00
 1180.0000     -0.00774969  0.29416404E+01 -0.17919599E-03  0.16142786E+20 -0.12428679E-07  0.21925315E+16  0.90284854E+00  0.43916171E-10  0.40708781E+00
 1190.0000     -0.00774969  0.29683059E+01 -0.17727182E-03  0.16381147E+20 -0.12152452E-07  0.22477984E+16  0.92084091E+00  0.44314263E-10  0.40702958E+00
 1200.0000     -0.00774969  0.29955067E+01 -0.17536147E-03  0.16624381E+20 -0.11881825E-07  0.23040778E+16  0.93901630E+00  0.44720349E-10  0.40697278E+00
 
