#    T [K]            N         DOS(Ef)           S             s/t               R_H        kappa0         c                 chi         Ef
  440.0000      0.00006458  0.18380133E+00  0.97737106E-04  0.30664216E+18  0.44285275E-07  0.38649575E+14  0.59244506E-01  0.27439964E-11  0.39886459E+00
  450.0000      0.00006458  0.19939268E+00  0.84972795E-04  0.34070887E+18  0.20534330E-07  0.42958735E+14  0.64058397E-01  0.29767618E-11  0.39895711E+00
  460.0000      0.00006458  0.21582798E+00  0.73858751E-04  0.37745883E+18  0.38055246E-08  0.47615837E+14  0.69115328E-01  0.32221269E-11  0.39904250E+00
  470.0000      0.00006458  0.23307986E+00  0.64147338E-04  0.41694161E+18 -0.78204975E-08  0.52632644E+14  0.74411803E-01  0.34796825E-11  0.39912167E+00
  480.0000      0.00006458  0.25112299E+00  0.55626870E-04  0.45920705E+18 -0.15751778E-07  0.58021037E+14  0.79944647E-01  0.37490510E-11  0.39919541E+00
  490.0000      0.00006458  0.26993377E+00  0.48118121E-04  0.50430487E+18 -0.21016847E-07  0.63792973E+14  0.85710940E-01  0.40298799E-11  0.39926437E+00
  500.0000      0.00006458  0.28948994E+00  0.41470183E-04  0.55228426E+18 -0.24365251E-07  0.69960449E+14  0.91707957E-01  0.43218368E-11  0.39932913E+00
  510.0000      0.00006458  0.30977035E+00  0.35556364E-04  0.60319359E+18 -0.26342564E-07  0.76535474E+14  0.97933131E-01  0.46246058E-11  0.39939017E+00
  520.0000      0.00006458  0.33075470E+00  0.30270405E-04  0.65708016E+18 -0.27345643E-07  0.83530037E+14  0.10438401E+00  0.49378843E-11  0.39944791E+00
  530.0000      0.00006458  0.35242347E+00  0.25523159E-04  0.71399002E+18 -0.27663025E-07  0.90956085E+14  0.11105824E+00  0.52613804E-11  0.39950272E+00
  540.0000      0.00006458  0.37475769E+00  0.21239749E-04  0.77396776E+18 -0.27504329E-07  0.98825509E+14  0.11795355E+00  0.55948112E-11  0.39955489E+00
  550.0000      0.00006458  0.39773896E+00  0.17357163E-04  0.83705646E+18 -0.27021644E-07  0.10715012E+15  0.12506771E+00  0.59379018E-11  0.39960471E+00
